_id,全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
1,172014,AA0000001090,石川県金沢市,金沢市埋蔵文化財センター,カナザワシマイゾウブンカザイセンター,"",金沢市埋蔵文化財センター,801,"","",172014,"",石川県金沢市上安原南60番地,石川県,金沢市,上安原南,60番地,"",36.557362,136.591423,"","",076-269-2451,"","","","",-,4000020172014,金沢市,火水木金土日,09:30,17:00,休館日:月曜日（祝日の場合は次の平日）、年末年始,金沢市内には縄文時代から江戸時代までの数多くの遺跡が分布しています。遺跡や出土した遺物は、私たちの地域の歴史文化を知る上で貴重な歴史遺産です。金沢埋蔵文化財センターは、市内の発掘調査で出土した遺物の整理・記録を専門に行う施設です。館内では出土遺物の水洗いや復元、実測などの整理作業を見学できるほか、中屋サワ遺跡出土品（重要文化財）やチカモリ遺跡出土柱根（石川県指定文化財）を中心とした展示室『金沢縄文ワールド』があり、『縄文体験コーナー』では勾玉づくりなどさまざまな古代体験ができます。,"","","","","","","","","","","","","","","","","",https://www4.city.kanazawa.lg.jp/bunka_sports_kanko/rekishi_bunkazai/6/4/18140.html,"","",""
2,172014,AA0000001091,石川県金沢市,金沢市埋蔵文化財収蔵庫,カナザワシマイゾウブンカザイシュウゾウコ,"",金沢市埋蔵文化財収蔵庫,801,"","",172014,"",石川県金沢市新保本5丁目48番地,石川県,金沢市,新保本5丁目,48番地,"",36.556019,136.605232,"","",076-240-2371,"","","","",-,4000020172014,金沢市,火水木金土日,09:30,16:30,休館日:月曜日（祝日の場合は次の平日）、年末年始、展示替休館,国指定史跡チカモリ遺跡を整備したチカモリ遺跡公園に隣接して建てられています。館内にはチカモリ遺跡から出土した柱根(石川県指定文化財)をはじめ、縄文時代から江戸時代にかけての市内の遺跡から出土した土器や石器などが展示されており、自由に見学することができます。,"","","","","","","","","","","","","","","","","",https://www4.city.kanazawa.lg.jp/bunka_sports_kanko/rekishi_bunkazai/6/4/18159.html,"","",""
3,172014,AA0000001092,石川県金沢市,金沢歌劇座,カナザワカゲキザ,"",歌劇座,1016,"","",172014,"",石川県金沢市下本多町六番丁27,石川県,金沢市,下本多町六番丁,2-7,"",36.55886,136.658646,"","",076-220-2501,"","","","",920-0993,7220005004521,公益財団法人金沢芸術創造財団,月火木金土日,09:00,22:00,休館日:原則第1･3水曜日（祝日の場合はその翌日）年末年始(12月29日から1月3日),"1,919席のホールではコンサート、オーケストラ、オペラなど大規模な催事にご利用いただけます。また、270人収容可能な大集会室や数多くの会議室を完備。同時通訳設備（３ヶ国語対応）を利用し、コンベンション等の開催にも対応可能です。",可,有,"",有,有,有,"",有,無,有,有,有,"","","",無,"",https://www.kagekiza.gr.jp/,"","",""
4,172014,AA0000001093,石川県金沢市,金沢市文化ホール,カナザワシブンカホール,"",文化ホール,1016,"","",172014,"",石川県金沢市高岡町15-1,石川県,金沢市,高岡町,15-1,"",36.566839,136.652794,"","",076-223-1221,"","","","",-,7220005004521,公益財団法人金沢芸術創造財団,月火木金土日,09:00,22:00,休館日:原則第2･4水曜日（休日のときはその翌日）年末年始(12月29日から1月3日),899席の多目的ホールでは、コンサート、演劇、学会などジャンルを問わず幅広くお使いいただけます。シアター形式で400名の収容可能な大集会室や国際会議場として利用可能な99席の大会議室、その他、楽屋、練習室、会議室、展示ギャラリーなどを完備しています。,可,有,無,有,有,無,無,有,無,無,有,有,無,無,可,無,有,https://www.bunka-h.gr.jp/,"","",""
5,172014,AA0000001094,石川県金沢市,金沢市アートホール,カナザワシアートホール,KANAZAWA ART HALL,アートホール,1016,"","",172014,"",石川県金沢市本町2-15-1,石川県,金沢市,本町2,15-1,ポルテ金沢6F,36.57634,136.649433,"","",076-224-1660,"","","","",920-0853,7220005004521,公益財団法人金沢芸術創造財団,月火木金土日,09:00,22:00,休館日:原則第2・4水曜日（祝日の場合はその翌日）年末年始(12月29日から1月3日),“豊かで調和のとれた音を響かせる”という考え方を基本に設計されたシューボックス型の本格的な音楽ホールです。308席のホールは、アーティストの感性と聴衆の興奮が一体となって生み出す創造空間を提供しています。,可,有,無,有,有,無,無,可,無,可+AT6,無,有,無,有（バリアフリートイレ内）,可（但しホール客席内は不可）,無,無,https://www.art-h.gr.jp/,"","",""
6,172014,AA0000001072,石川県金沢市,農業センター,ノウギョウセンター,"",農業センター,1306,"","",172014,"",石川県金沢市下安原町東1471,石川県,金沢市,下安原町,東1471番地,"",36.57255,136.574134,"","",076-249-2744,"",nougyou_c@city.kanazawa.lg.jp,"","",-,4000020172014,農業センター,月火水木金土,08:30,17:15,閉所日:日曜日、国民の祝日、年末年始（12月29日から1月3日）,金沢市農業センターは、都市型農業の振興と産地の育成を図るため、新技術の普及や地域に密着した産地づくりを強化するとともに、研修や交流の場として、農家等をはじめ広く市民が利用できる施設として、平成6年4月に開設されました。,可,無,無,有,有（管理棟玄関スロープ）,無,無,無,無,無,有（加工調理実習館前２台分）,無,無,無,可,無,有,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/nogyocenter/gyomuannai/1/1/1/6658.html,"","",研修室等施設の使用を希望される場合は、ホームページの「農業センター施設の予約方法について」をご確認いただき、事前にお申込みください。
7,172014,AA0000001073,石川県金沢市,金沢湯涌みどりの里,カナザワユワクミドリノサト,"",金沢湯涌みどりの里,1305,"","",172014,"",石川県金沢市湯涌荒屋町47,石川県,金沢市,湯涌荒屋町,47番地,"",36.490392,136.75469,"","",076-235-8033,"",midorinosato@city.kanazawa.lg.jp,"","",-,4000020172014,金沢湯涌みどりの里,月水木金土日,09:00,17:00,休館日:火曜日（祝日にあたる場合は翌日）、年末年始（12/29～1/3）,湯涌の緑豊かな自然の中で、農業に親しむことができます。園内では市民農園や果樹園での農業体験をはじめ、交流施設でのソバ打ち体験、農産加工品の手作り体験等を開催しています。また、4月～12月の毎週水・日曜日には湯涌朝市が開催され、地元農家の手による新鮮な野菜や加工品を販売しています。,"",無,無,有,無,無,無,無,"",有,無,"","",有,可,無,可,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/nogyosuisanshinkoka/gyomuannai/3/1/2/5179.html,"","",農産加工室等をご利用の場合は、事前にお申込みください。
8,172014,AA0000001068,石川県金沢市,ITビジネスプラザ武蔵,ITビジネスプラザムサシ,IT Business Plaza Musashi,ITビジネスプラザ武蔵,1306,"","",172014,"",石川県金沢市武蔵町14-31,石川県,金沢市,武蔵町,14-31,"",36.571186869723284,136.65471106767654,"","",(076)224-6340,"",info@bp-musashi.jp,"","",920-0855,4000020172014,ITビジネスプラザ武蔵,月火水木金土日,10:00,22:00,休館日:年末年始（12月29日～1月3日）,映像、デザイン、ITなどのクリエイティブ産業分野で、これから起業しようとする方や創業間もない方を、ハード・ソフト両面でサポートするインキュベーション施設です。撮影スタジオや編集室、研修室、会議室、交流室などの貸室もあり、ミーティングやセミナーなど、ビジネスを中心とした多方面で活用できる施設です。,可,無,無,有,有,無,無,無,無,無,無,無,無,無,有,無,無,https://www.bp-musashi.jp/,"","",""
9,172014,AA0000001069,石川県金沢市,金沢未来のまち創造館,カナザワミライノマチソウゾウカン,KANAZAWA MIRAI NO MACHI CREATION CENTER,金沢未来のまち創造館,1306,"","",172014,"",石川県金沢市野町3-11-1,石川県,金沢市,野町,3-11-1,"",36.5527368,136.6484803,"","",(076)280-3115,"",info@mirai-nomachi.jp,"","",921-8031,4000020172014,金沢未来のまち創造館,月火水木金土日,09:00,21:00,休館日:年末年始（12月29日～1月3日）,金沢未来のまち創造館は、「スタートアップ・新ビジネス創出」、「子供の独創力育成」、「食の価値創造」を３つの柱に事業活動を展開し、金沢市における新たな産業の創出と未来で活躍する人材の輩出を図る価値創造拠点施設です。,可,有,無,有,有,無,無,無,無,無,有,有,無,有,有,無,無,https://www.mirai-nomachi.jp/,"","",""
10,172014,AA0000001070,石川県金沢市,金沢市異業種研修会館,カナザワシイギョウシュケンシュウカイカン,Kanazawa City Different Industry Training Hall,異業種研修会館,1306,"","",172014,"",石川県金沢市打木町東1400番地,石川県,金沢市,打木町東,1400番地,金沢市異業種研修会館,36.566717,136.574515,"","",076-240-1934,"",igyousyu@arrow.ocn.ne.jp,"","",9200377,7220005001733,安原工業団地協同組合,月火水木金土日,09:00,21:00,休館日:年末年始（12月29日～1月3日）,安原異業種工業団地内にある中小企業等の交流・研修施設で、会議や各種研修の場としてご利用いただけます。会館ではものづくり支援コーナーが設置されていますので、製品開発に関することなどお気軽にご相談ください。（駐車１30台可）,"","","","","","","","","","",有,"","","","","","",https://www4.city.kanazawa.lg.jp/soshikikarasagasu/shokogyoshinkoka/gyomuannai/1/2/6572.html,https://www4.city.kanazawa.lg.jp/material/images/group/28/igyo_ph1.jpg,CC BY,""
